pair,run,destroy_total,context_validation,adapter,bundle_construction,cascade_omega,repair_total,pair_total,status,raw,feasible,unique,objective_calls,checker_calls,fingerprint
Random+Global,1,0.004701500,0,0,0,0,0.021500700,0.026204200,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Random+Global,2,0.004481300,0,0,0,0,0.019602700,0.024085200,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Random+Global,3,0.004897300,0,0,0,0,0.021207600,0.026106400,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Random+Local,1,0.004375200,0,0,0,0,0.013105200,0.017481700,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Random+Local,2,0.006757000,0,0,0,0,0.012962900,0.019721100,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Random+Local,3,0.005376300,0,0,0,0,0.012847700,0.018226100,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Random+Regret,1,0.005179500,0,0,0,0,0.141522100,0.146702900,returned,0,0,0,0,0,3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc
Random+Regret,2,0.005135200,0,0,0,0,0.237493600,0.242630300,returned,0,0,0,0,0,3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc
Random+Regret,3,0.016524600,0,0,0,0,0.184293200,0.200820700,returned,0,0,0,0,0,3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc
Random+Cascade,1,0.005967600,0.003168000,0.003339900,0.000170200,0.031276400,0.039270800,0.045240300,success,6,5,4,4,11,56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e
Random+Cascade,2,0.005019200,0.001921900,0.002050800,0.000127600,0.031025700,0.037972400,0.042993700,success,6,5,4,4,11,56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e
Random+Cascade,3,0.005197400,0.002654800,0.002786600,0.000130800,0.029475300,0.036518200,0.041717700,success,6,5,4,4,11,56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e
Greedy+Global,1,0.032285300,0,0,0,0,0.022987700,0.055274600,returned,0,0,0,0,0,da4451935d067199fc880bbde649a891258dc027df8b833b3e8bbeaaf9217e76
Greedy+Global,2,0.013839800,0,0,0,0,0.022151400,0.035992900,returned,0,0,0,0,0,da4451935d067199fc880bbde649a891258dc027df8b833b3e8bbeaaf9217e76
Greedy+Global,3,0.014043900,0,0,0,0,0.021234800,0.035280300,returned,0,0,0,0,0,da4451935d067199fc880bbde649a891258dc027df8b833b3e8bbeaaf9217e76
Greedy+Local,1,0.014509400,0,0,0,0,0.015895400,0.030406500,returned,0,0,0,0,0,95a1746970f9d4d18841f0261f05f6a4d1783c92923359249b2e1db510aeb933
Greedy+Local,2,0.015340900,0,0,0,0,0.015102300,0.030445100,returned,0,0,0,0,0,95a1746970f9d4d18841f0261f05f6a4d1783c92923359249b2e1db510aeb933
Greedy+Local,3,0.014638100,0,0,0,0,0.014080600,0.028720400,returned,0,0,0,0,0,95a1746970f9d4d18841f0261f05f6a4d1783c92923359249b2e1db510aeb933
Greedy+Regret,1,0.015732400,0,0,0,0,0.120031200,0.135764900,returned,0,0,0,0,0,da4451935d067199fc880bbde649a891258dc027df8b833b3e8bbeaaf9217e76
Greedy+Regret,2,0.015337600,0,0,0,0,0.147828700,0.163168100,returned,0,0,0,0,0,da4451935d067199fc880bbde649a891258dc027df8b833b3e8bbeaaf9217e76
Greedy+Regret,3,0.014637600,0,0,0,0,0.143275800,0.157915600,returned,0,0,0,0,0,da4451935d067199fc880bbde649a891258dc027df8b833b3e8bbeaaf9217e76
Greedy+Cascade,1,0.015935600,0.002235100,0.002382100,0.000146100,0.034074200,0.040238000,0.056175100,success,11,11,10,10,22,b29d4743a67273b3908cd26e1f4a95c634829d3a50aae1cc7596cf5803ee5cb3
Greedy+Cascade,2,0.012796000,0.002653000,0.002975500,0.000321000,0.037395200,0.044743500,0.057541000,success,11,11,10,10,22,b29d4743a67273b3908cd26e1f4a95c634829d3a50aae1cc7596cf5803ee5cb3
Greedy+Cascade,3,0.015181000,0.002120100,0.002249100,0.000128000,0.037251700,0.043456700,0.058639200,success,11,11,10,10,22,b29d4743a67273b3908cd26e1f4a95c634829d3a50aae1cc7596cf5803ee5cb3
Related+Global,1,0.007493800,0,0,0,0,0.023578900,0.031074300,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Related+Global,2,0.004837400,0,0,0,0,0.020526800,0.025366000,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Related+Global,3,0.005078700,0,0,0,0,0.020987800,0.026068300,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Related+Local,1,0.005121800,0,0,0,0,0.015360100,0.020483300,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Related+Local,2,0.004626000,0,0,0,0,0.014091100,0.018718700,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Related+Local,3,0.004532000,0,0,0,0,0.013976600,0.018509800,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Related+Regret,1,0.030166000,0,0,0,0,0.133095500,0.163262900,returned,0,0,0,0,0,3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc
Related+Regret,2,0.006862800,0,0,0,0,0.128952700,0.135817300,returned,0,0,0,0,0,3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc
Related+Regret,3,0.004868500,0,0,0,0,0.121180100,0.126049900,returned,0,0,0,0,0,3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc
Related+Cascade,1,0.005727000,0.002272300,0.002391000,0.000117800,0.029832900,0.036029800,0.041758100,success,6,5,4,4,11,56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e
Related+Cascade,2,0.005787300,0.002224900,0.002340200,0.000114500,0.025624500,0.033532000,0.039321700,success,6,5,4,4,11,56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e
Related+Cascade,3,0.004714700,0.001853800,0.001966700,0.000112200,0.054128100,0.059715000,0.064432100,success,6,5,4,4,11,56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e
Cascade+Global,1,0.005300200,0,0,0,0,0.023805600,0.029107700,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Cascade+Global,2,0.006127600,0,0,0,0,0.025609200,0.031738500,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Cascade+Global,3,0.005075200,0,0,0,0,0.020949300,0.026025900,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Cascade+Local,1,0.005826500,0,0,0,0,0.015746900,0.021575600,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Cascade+Local,2,0.009899400,0,0,0,0,0.012785700,0.022686300,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Cascade+Local,3,0.005087200,0,0,0,0,0.014257600,0.019346200,returned,0,0,0,0,0,819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76
Cascade+Regret,1,0.005694900,0,0,0,0,0.133400600,0.139096900,returned,0,0,0,0,0,3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc
Cascade+Regret,2,0.006960200,0,0,0,0,0.128976800,0.135938500,returned,0,0,0,0,0,3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc
Cascade+Regret,3,0.005880300,0,0,0,0,0.158167500,0.164051000,returned,0,0,0,0,0,3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc
Cascade+Cascade,1,0.004907300,0,0,0,0.028223800,0.030871300,0.035780200,success,6,5,4,4,11,56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e
Cascade+Cascade,2,0.005277000,0,0,0,0.028419500,0.032752800,0.038032000,success,6,5,4,4,11,56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e
Cascade+Cascade,3,0.005722700,0,0,0,0.029499800,0.032414700,0.038139000,success,6,5,4,4,11,56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e
